Organism_Name,Tube_ID,Tube_Description,Replicate_No,Media_RFV,TEA,Hydrogen_level,Temperature,Gas,Injection_vol,Attenuation,t0,t1,t2
RA7 &M1,187,RA7+M1,1,NoSub,Fumarate,low,20,CH4,0.3,16,0,2.5,4
RA7 &M1,188,RA7+M1,2,NoSub,Fumarate,low,20,CH4,0.3,16,0,2.3,4
RA7 &M1,189,RA7+M1,3,NoSub,Fumarate,low,20,CH4,0.3,16,0,2.2,3.8
RA7 & Selenomonas,190,RA7+Hungate,1,NoSub,NoTEA,low,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas,191,RA7+Hungate,2,NoSub,NoTEA,low,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas,192,RA7+Hungate,3,NoSub,NoTEA,low,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,196,RA7+Hungate,1,NoSub,Fumarate,low,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,197,RA7+Hungate,2,NoSub,Fumarate,low,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,198,RA7+Hungate,3,NoSub,Fumarate,low,20,CH4,0.3,16,0,0,0
RA7 & M1 & Selenomonas,199,RA7+M1+Hungate,1,NoSub,NoTEA,low,20,CH4,0.3,16,0,3,5.5
RA7 & M1 & Selenomonas,200,RA7+M1+Hungate,2,NoSub,NoTEA,low,20,CH4,0.3,16,0,3,5.5
RA7 & M1 & Selenomonas,201,RA7+M1+Hungate,3,NoSub,NoTEA,low,20,CH4,0.3,16,0,2.5,5
RA7 & M1 & Selenomonas,202,RA7+M1+Hungate,4,NoSub,NoTEA,low,20,CH4,0.3,16,0,2.3,5
RA7 & M1 & Selenomonas,207,RA7+M1+Hungate,1,NoSub,Fumarate,low,20,CH4,0.3,16,0,1,1.6
RA7 & M1 & Selenomonas,208,RA7+M1+Hungate,2,NoSub,Fumarate,low,20,CH4,0.3,16,0,1,1.6
RA7 & M1 & Selenomonas,209,RA7+M1+Hungate,3,NoSub,Fumarate,low,20,CH4,0.3,16,0,1,1.6
RA7 & M1 & Selenomonas,210,RA7+M1+Hungate,4,NoSub,Fumarate,low,20,CH4,0.3,16,0,1,1.3
RA7,211,RA7,1,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7,212,RA7,2,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7,213,RA7,3,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7,217,RA7,1,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7,218,RA7,2,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7,219,RA7,3,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7 &M1,220,RA7+M1,1,NoSub,NoTEA,high,20,CH4,0.3,16,0,6,9
RA7 &M1,221,RA7+M1,2,NoSub,NoTEA,high,20,CH4,0.3,16,0,6,9.2
RA7 &M1,222,RA7+M1,3,NoSub,NoTEA,high,20,CH4,0.3,16,0,6.3,8.5
RA7 &M1,226,RA7+M1,1,NoSub,Fumarate,high,20,CH4,0.3,16,0,6,8
RA7 &M1,227,RA7+M1,2,NoSub,Fumarate,high,20,CH4,0.3,16,0,6.3,8
RA7 &M1,228,RA7+M1,3,NoSub,Fumarate,high,20,CH4,0.3,16,0,6.2,8.3
RA7 & Selenomonas,229,RA7+Hungate,1,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas,230,RA7+Hungate,2,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas,231,RA7+Hungate,3,NoSub,NoTEA,high,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,235,RA7+Hungate,1,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,236,RA7+Hungate,2,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7 & Selenomonas ,237,RA7+Hungate,3,NoSub,Fumarate,high,20,CH4,0.3,16,0,0,0
RA7 & M1 & Selenomonas,238,RA7+M1+Hungate,1,NoSub,NoTEA,high,20,CH4,0.3,16,0,6.2,9
RA7 & M1 & Selenomonas,239,RA7+M1+Hungate,2,NoSub,NoTEA,high,20,CH4,0.3,16,0,6,9
RA7 & M1 & Selenomonas,240,RA7+M1+Hungate,3,NoSub,NoTEA,high,20,CH4,0.3,16,0,6,8.3
RA7 & M1 & Selenomonas,241,RA7+M1+Hungate,4,NoSub,NoTEA,high,20,CH4,0.3,16,0,7.2,9.6
RA7 & M1 & Selenomonas,246,RA7+M1+Hungate,1,NoSub,Fumarate,high,20,CH4,0.3,16,0,,4.8
RA7 & M1 & Selenomonas,247,RA7+M1+Hungate,2,NoSub,Fumarate,high,20,CH4,0.3,16,0,,5
RA7 & M1 & Selenomonas,248,RA7+M1+Hungate,3,NoSub,Fumarate,high,20,CH4,0.3,16,0,,5.3
RA7 & M1 & Selenomonas,249,RA7+M1+Hungate,4,NoSub,Fumarate,high,20,CH4,0.3,16,0,,5
